,subject,predicate,object
2708,HERC2,stimulates,RNF8
2709,PCNA,stimulates,REV3L
2710,REV1,stimulates,REV3L
2711,ELAVL1,stimulates,SLC11A1
2712,TOPBP1,stimulates,RAD9A
2713,RAD9A,stimulates,TOPBP1
2714,TOPBP1,stimulates,POLA1
2715,CHEK1,stimulates,FANCL
2716,DCLRE1B,stimulates,MUS81
2717,ATR,stimulates,FANCL
2718,PRKDC,stimulates,HERC2
2719,RAD54L,stimulates,MUS81
2720,MAD2L2,stimulates,MAPK10
2721,SMARCA4,stimulates,XPC
2722,XPC,stimulates,SMARCA4
2723,DDB2,stimulates,XPC
2725,ABL1,stimulates,CASP9
2726,SPI1,stimulates,ITGAM
2727,ABL1,stimulates,CAT
2728,SPI1,stimulates,ITGB2
2729,SPI1,stimulates,CSF1
2730,PKN2,stimulates,CDC25B
2731,PLK1,stimulates,ECT2
2732,ECT2,stimulates,PLK1
2733,ABL1,stimulates,APBB1
2734,ABL1,stimulates,BCAR1
2735,BCAR1,stimulates,ABL1
2736,PAX5,stimulates,CD19
2737,ABL1,stimulates,BCR
2738,BCR,stimulates,ABL1
2739,PAX5,stimulates,CD79A
2741,CCNB1,stimulates,PLK1
2742,PLK1,stimulates,CCNB1
2743,ABL1,stimulates,CDK5
2744,CSF1,stimulates,CSF1R
2745,SRC,stimulates,ABL2
2746,HCK,stimulates,ABL2
2747,ABL1,stimulates,ABL2
2748,ESCO1,stimulates,SMC3
2749,XPA,stimulates,CEP164
2750,BRCA1,stimulates,SOX2
2751,ABL1,stimulates,ABI1
2752,ABI1,stimulates,ABL1
2753,CHEK1,stimulates,FANCE
2754,AKT1,stimulates,TOPBP1
2755,CHEK1,stimulates,FANCD2
2756,ABL1,stimulates,SRC
2757,SRC,stimulates,ABL1
2758,HCK,stimulates,ABL1
2759,IL7R,stimulates,JAK3
2760,JAK3,stimulates,IL7R
2761,AURKA,stimulates,NDEL1
2762,CDK1,stimulates,NDEL1
2763,PLK1,stimulates,CHEK2
2766,PIAS1,stimulates,SOX9
2767,UBE2I,stimulates,RANGAP1
2768,RANBP2,stimulates,RANGAP1
2769,UBE2I,stimulates,UIMC1
2770,ZBTB16,stimulates,IL3RA
2772,CEBPA,stimulates,LTF
2773,RUNX1,stimulates,CSF1R
2774,MYC,stimulates,MIR17HG
2777,RUNX1,stimulates,IL3
2778,MYC,stimulates,E2F1
2779,E2F1,stimulates,MYC
2780,CEBPA,stimulates,ELANE
2781,CEBPA,stimulates,LYZ
2782,RUNX1,stimulates,BLK
2784,PAX5,stimulates,BLK
2785,CEBPA,stimulates,CSF2RA
2786,CEBPA,stimulates,MPO
2787,CEBPA,stimulates,CD14
2788,RUNX1,stimulates,ELANE
2790,RUNX1,stimulates,MPO
2791,RUNX1,stimulates,CSF2RA
2795,STAT3,stimulates,SPI1
2796,CEBPA,stimulates,SPI1
2797,CSF3,stimulates,CSF3R
2798,SPI1,stimulates,CSF3
2799,CSF2,stimulates,SPI1
2800,SPI1,stimulates,CSF2
2801,CSF2,stimulates,CSF2RA
2802,CEBPA,stimulates,CSF1R
2803,CEBPA,stimulates,CSF3R
2804,ATM,stimulates,EIF4EBP1
2805,ATM,stimulates,RPA2
2806,ATR,stimulates,MCM2
2807,ATM,stimulates,MCM3
2808,EEF1E1,stimulates,ATR
2811,PARP1,stimulates,MRE11
2812,ATR,stimulates,SMC1A
2813,NSMCE2,stimulates,TSNAX
2814,PRKDC,stimulates,VCP
2816,PPM1D,stimulates,TP53
2817,TP53,stimulates,PPM1D
2818,NCL,stimulates,RPA1
2819,NSMCE2,stimulates,SMC6
2821,HGF,stimulates,MET
2822,MET,stimulates,SHC1
2823,H3C15,stimulates,TP53BP1
2824,ATM,stimulates,AKT1
2825,H3-4,stimulates,TP53BP1
2828,USP1,stimulates,FANCI
2830,BRCA1,stimulates,GADD45A
2831,RAD52,stimulates,RAD51
2832,RAD51,stimulates,RAD52
2833,AKT1,stimulates,MDM2
2836,TP53,stimulates,BTG2
2837,MYC,stimulates,BCL2L11
2839,AKT1,stimulates,GSK3B
2840,GSK3B,stimulates,AKT1
2841,GSK3B,stimulates,CYCS
2847,EGFR,stimulates,MAP2K1
2848,PSIP1,stimulates,CRYAB
2849,PSIP1,stimulates,HSPB1
2851,PSIP1,stimulates,ADH4
2852,PSIP1,stimulates,PRDX6
2853,PSIP1,stimulates,ALDH1A2
2854,JUNB,stimulates,EGFR
2855,PSIP1,stimulates,ADH1A
2856,PSIP1,stimulates,GCLC
2857,TNF,stimulates,PSIP1
2859,EGR1,stimulates,ID3
2860,MYC,stimulates,TERT
2862,TRIM28,stimulates,CDKN1A
2863,KAT5,stimulates,PRKDC
2864,BAD,stimulates,CYCS
2865,BAK1,stimulates,CYCS
2866,BAK1,stimulates,DIABLO
2867,BAX,stimulates,HTRA2
2868,BMF,stimulates,BCL2L2
2874,IKBKE,stimulates,IRF3
2875,RPA1,stimulates,ATRIP
2880,STAT3,stimulates,BCL2L1
2881,STAT3,stimulates,BCL2
2882,MAPK1,stimulates,STAT3
2883,MAPK3,stimulates,STAT3
2884,BAX,stimulates,AIFM1
2885,BAX,stimulates,CYCS
2886,BIRC5,stimulates,CASP3
2887,WRN,stimulates,RAD52
2889,ATM,stimulates,TP53BP1
2890,PML,stimulates,TOPBP1
2893,BLM,stimulates,TP53
2894,TNF,stimulates,TNFRSF1B
2895,TNFRSF1B,stimulates,TNF
2897,TNFRSF1B,stimulates,TRAF2
2899,CDK1,stimulates,EIF4G2
2900,EIF4G2,stimulates,CDK1
2901,EIF4G2,stimulates,BCL2
2903,RNF40,stimulates,RNF20
2904,RNF20,stimulates,RNF40
2905,PRKDC,stimulates,WRN
2906,WRN,stimulates,PRKDC
2907,PRKDC,stimulates,H2AX
2908,PIN1,stimulates,MAPT
2911,ERCC5,stimulates,PCNA
2912,INS,stimulates,INSR
2913,TNFSF9,stimulates,TNFRSF9
2914,EGR1,stimulates,CDKN1A
2915,EGR1,stimulates,FASLG
2916,BAG1,stimulates,BCL2
2917,EGR1,stimulates,PPARG
2918,EGR1,stimulates,EGFR
2919,TP53,stimulates,FBXW7
2920,CEBPB,stimulates,LBP
2921,RBPJ,stimulates,HES5
2922,TP53,stimulates,DUSP5
2923,DUSP5,stimulates,MAPK3
2924,FBXW7,stimulates,CCNE1
2925,TP53,stimulates,PMAIP1
2926,PAX6,stimulates,FOXE3
2927,PAX6,stimulates,MAF
2928,SIX3,stimulates,PAX6
2929,PAX6,stimulates,SIX3
2930,ATR,stimulates,BRCA1
2931,MEIS2,stimulates,PAX6
2932,ATR,stimulates,CHEK1
2933,MAF,stimulates,CRYAA
2934,MAF,stimulates,CRYAB
2935,TP53,stimulates,DUSP1
2936,MAP3K4,stimulates,MAP2K6
2937,GADD45B,stimulates,MAP3K4
2938,FOXM1,stimulates,MMP2
2940,MCPH1,stimulates,E2F1
2942,MAP3K4,stimulates,MAP2K4
2943,CSNK1A1,stimulates,TP53
2944,PML,stimulates,CSNK1A1
2945,DAPK1,stimulates,PKM
2946,CSNK1A1,stimulates,TP53TG5
2947,CDK2,stimulates,CDC25A
2948,CDC25A,stimulates,CDK2
2949,MYC,stimulates,CDC25A
2952,BAX,stimulates,APAF1
2955,NFE2L2,stimulates,OSGIN1
2956,HUS1,stimulates,PCNA
2957,NFE2L2,stimulates,GCLM
2958,ATF2,stimulates,ATF3
2959,NFE2L2,stimulates,HMOX1
2960,RAD17,stimulates,ATR
2961,ATR,stimulates,RAD17
2963,SEM1,stimulates,BRCA2
2965,UBE2N,stimulates,PCNA
2966,SIRT3,stimulates,XRCC6
2967,NFE2L2,stimulates,NQO1
2968,EGR1,stimulates,NAB2
2970,EGR1,stimulates,TGFB1
2971,EGR1,stimulates,PDGFB
2972,EGR1,stimulates,PDGFA
2973,EGR1,stimulates,IGF2
2974,AURKA,stimulates,TP53
2976,TP53BP1,stimulates,TP53
2977,MYC,stimulates,CCND2
2978,RPA1,stimulates,FEN1
2979,E2F1,stimulates,CHEK1
2980,MYC,stimulates,CDK4
2981,RNF2,stimulates,H2AC20
2983,SP1,stimulates,IER3
2985,IER3,stimulates,TP53
2986,TP53,stimulates,RRM2B
2987,RRM2B,stimulates,TP53
2988,TP53,stimulates,TP53INP1
2989,BLM,stimulates,FEN1
2990,EGR1,stimulates,TP53
2991,PALB2,stimulates,BRCA2
2992,EGR1,stimulates,PTEN
2993,H2AX,stimulates,MCPH1
2994,TP53,stimulates,TRAF4
2995,RAD1,stimulates,ATR
2996,ATR,stimulates,RAD1
2997,TP53,stimulates,BBC3
2998,BBC3,stimulates,TP53
2999,TP53,stimulates,BBC3
3000,BBC3,stimulates,TP53
3001,CSNK2B,stimulates,TBP
3002,TP53,stimulates,PIDD1
3003,TP53,stimulates,FAS
3004,FAS,stimulates,TP53
3005,H4-16,stimulates,TP53BP1
3006,FAS,stimulates,FADD
3007,CD70,stimulates,CD27
3008,FASLG,stimulates,FAS
3009,TNFSF10,stimulates,TNFRSF10D
3011,TNFRSF10B,stimulates,TNFSF10
3012,TNFSF10,stimulates,TNFRSF10B
3013,TNFSF10,stimulates,TNFRSF10A
3014,TP53,stimulates,DDB2
3015,TP53,stimulates,CCNG1
3016,CCNG1,stimulates,TP53
3017,TNFRSF10B,stimulates,FADD
3018,TNFRSF1A,stimulates,RIPK1
3019,TNFRSF1A,stimulates,TRADD
3021,TRADD,stimulates,FADD
3022,TRADD,stimulates,TRAF2
3023,TNF,stimulates,TNFRSF1A
3026,TNFAIP3,stimulates,TRADD
3027,BLVRA,stimulates,HMOX1
3028,SHH,stimulates,PTCH1
3029,BLVRA,stimulates,JUND
3030,TAF1,stimulates,CDKN1B
3032,BLVRA,stimulates,PRKCB
3033,BLVRA,stimulates,JUN
3034,INSR,stimulates,IRS1
3035,IRS1,stimulates,INSR
3036,BLVRA,stimulates,ATF2
3037,NRF1,stimulates,EIF2S1
3038,NRF1,stimulates,TFAM
3039,AKT1,stimulates,NRF1
3040,GNL3,stimulates,TP53
3041,NRF1,stimulates,EIF2S2
3043,MTOR,stimulates,RPS6KA2
3044,RPS6KB1,stimulates,MDM2
3046,PTCH1,stimulates,SMO
3047,CHEK2,stimulates,BRCA1
3048,WRN,stimulates,POLD4
3049,PCNA,stimulates,POLD4
3050,RBBP8,stimulates,MRE11
3051,BABAM1,stimulates,BRCA1
3052,RPA1,stimulates,BRIP1
3053,E2F1,stimulates,TOPBP1
3055,MAP2K3,stimulates,MAPK14
3056,DDIT3,stimulates,JUND
3057,DDIT3,stimulates,JUND
3058,UBE2N,stimulates,H2AX
3061,MAP3K5,stimulates,MAP2K3
3062,SUFU,stimulates,GLI1
3063,HSPB6,stimulates,AKT1
3065,MAP2K1,stimulates,MAPK6
3067,GADD45A,stimulates,MAPK14
3068,MAPK14,stimulates,GADD45A
3069,BARD1,stimulates,BRCA1
3070,UBE2D3,stimulates,BRCA1
3071,CASP3,stimulates,CASP9
3072,CASP9,stimulates,CASP3
3073,TCL1A,stimulates,AKT1
3074,CASP2,stimulates,CASP8
3075,GNRHR,stimulates,MMP14
3076,GNRHR,stimulates,MMP15
3078,GNRHR,stimulates,TIMP2
3079,GNRHR,stimulates,SCG2
3082,EIF2AK4,stimulates,EIF2A
3083,EIF2AK3,stimulates,EIF2A
3085,ERN1,stimulates,XBP1
3086,FUS,stimulates,BCL2L11
3088,SRC,stimulates,CDC42
3089,SRC,stimulates,HRAS
3090,CDC42,stimulates,MAP3K1
3091,MAP3K1,stimulates,MAP2K4
3092,MAP3K1,stimulates,MAP2K7
3097,BCL2L11,stimulates,BAX
3100,NLRP1,stimulates,CYCS
3101,DAPK2,stimulates,MYL1
3103,GNRH1,stimulates,GNRHR
3104,KAT5,stimulates,ATM
3105,ERN1,stimulates,MAPK8
3106,EIF2A,stimulates,ATF4
3107,ATF4,stimulates,FUS
3108,GZMB,stimulates,BAD
3109,TYK2,stimulates,STAT1
3110,EP300,stimulates,STAT3
3111,EP300,stimulates,STAT5A
3112,PIAS1,stimulates,STAT1
3113,PIAS3,stimulates,STAT3
3114,RIPK1,stimulates,CASP8
3116,JAK1,stimulates,STAT1
3117,IL24,stimulates,IFNB1
3118,MAPK8,stimulates,STAT1
3119,MAPK9,stimulates,STAT1
3122,CCND3,stimulates,CCNE1
3123,RAC1,stimulates,STAT3
3127,MAP2K7,stimulates,MAPK8
3128,PRKRA,stimulates,EIF2AK2
3129,CKS1B,stimulates,CDK1
3130,MAPK14,stimulates,PPP1R15A
3131,MAPK14,stimulates,DDIT3
3132,MAPK14,stimulates,DDIT3
3133,CCND2,stimulates,CDK6
3134,CCND3,stimulates,CDK6
3135,USP7,stimulates,TP53
3138,CCND3,stimulates,CDK4
3139,CCND1,stimulates,CDK4
3140,TP53BP2,stimulates,TP53
3142,CCND2,stimulates,CDK4
3143,CCND1,stimulates,CDK6
3144,PPP1R13B,stimulates,TP53
3145,WRAP53,stimulates,TP53
3148,PDK2,stimulates,AKT1
3149,PDK1,stimulates,AKT1
3154,CASP12,stimulates,CASP9
3155,MAPK8,stimulates,BAD
3158,ATM,stimulates,ATMIN
3159,AKT1,stimulates,CREB1
3160,MAPK8,stimulates,BID
3165,FANCD2,stimulates,FAN1
3166,SH3GLB1,stimulates,BAX
3167,SH3GLB1,stimulates,BAK1
3168,WNT5A,stimulates,ROR2
3175,HTATIP2,stimulates,TP53
3176,MARK2,stimulates,DVL3
3178,PAK1,stimulates,CTNNB1
3180,CDC42,stimulates,PAK1
3181,PAK1,stimulates,CDC42
3182,RAC1,stimulates,PAK1
3183,PAK1,stimulates,RAC1
3184,H2AX,stimulates,ATR
3185,ATR,stimulates,H2AX
3186,BAX,stimulates,DIABLO
3187,PDK1,stimulates,PAK1
3188,CASP12,stimulates,CASP7
3190,ERBB2,stimulates,PAK1
3192,MDM2,stimulates,TP63
3193,TP63,stimulates,MDM2
3194,CHEK2,stimulates,E2F1
3195,E2F1,stimulates,CHEK2
3200,APAF1,stimulates,CASP9
3201,FADD,stimulates,CASP8
3202,ATM,stimulates,FANCD2
3203,FMR1,stimulates,PAK1
3204,CIB1,stimulates,PAK1
3205,RILPL2,stimulates,PAK1
3206,PAK1IP1,stimulates,PAK1
3207,RAC3,stimulates,PAK1
3208,RHOQ,stimulates,PAK1
3209,CHP1,stimulates,PAK1
3210,RAC2,stimulates,PAK1
3211,RHOU,stimulates,PAK1
3212,GRB2,stimulates,PAK1
3213,NCK1,stimulates,PAK1
3214,PAK1,stimulates,NCK1
3218,DAPK1,stimulates,MARK1
3219,DAPK1,stimulates,MARK2
3221,E2F1,stimulates,RPA2
3222,E2F1,stimulates,POLA1
3223,CSNK1A1,stimulates,MDM2
3224,F2R,stimulates,GNA13
3225,ATG3,stimulates,GABARAP
3226,ATG3,stimulates,GABARAPL2
3227,ABRAXAS1,stimulates,BRCA1
3228,PCNA,stimulates,FEN1
3231,MAPK8,stimulates,H2AX
3232,AXIN1,stimulates,MAP3K1
3233,RET,stimulates,SHC1
3234,UBR2,stimulates,RECQL4
3235,GABARAPL1,stimulates,SQSTM1
3237,ING1,stimulates,TP53
3238,MDC1,stimulates,CHEK2
3239,CARD11,stimulates,MALT1
3240,RRM2B,stimulates,RRM1
3241,EGFR,stimulates,CBLC
3243,CBX1,stimulates,H3-4
3244,MAPK13,stimulates,MAPKAPK3
3246,PTTG1,stimulates,TP53
3247,CTNNB1,stimulates,LEF1
3249,CXCL11,stimulates,CXCR3
3250,ATF2,stimulates,JUN
3251,CDH1,stimulates,CTNNB1
3252,CTNNB1,stimulates,CDH1
3253,MEN1,stimulates,FANCD2
3254,CTNNB1,stimulates,TCF7
3255,RSF1,stimulates,SMARCA5
3256,CD28,stimulates,CD80
3257,CD80,stimulates,CD28
3258,CD86,stimulates,CD28
3259,FEN1,stimulates,APEX1
3261,ING2,stimulates,TP53
3262,SH2B2,stimulates,CBL
3263,CD28,stimulates,GRB2
3264,WRN,stimulates,FEN1
3265,TGFB1,stimulates,APP
3266,FANCD2,stimulates,BRCA2
3267,UBR1,stimulates,RECQL4
3268,ING2,stimulates,COPS2
3269,MAML1,stimulates,RBPJ
3270,MET,stimulates,GAB1
3271,CD40,stimulates,TRAF3
3272,SMARCA4,stimulates,CTNNB1
3273,BRIP1,stimulates,BRCA1
3274,XPA,stimulates,RPA2
3276,GABARAP,stimulates,ATG7
3277,ATG7,stimulates,GABARAP
3278,ATG7,stimulates,GABARAPL2
3279,GABARAPL2,stimulates,ATG7
3280,DVL1,stimulates,RAC1
3281,RAC1,stimulates,DVL1
3282,RASSF1,stimulates,MST1
3283,ABL1,stimulates,CRK
3284,CRK,stimulates,ABL1
3285,EGFR,stimulates,PLCG1
3286,PLCG1,stimulates,EGFR
3287,GABARAPL2,stimulates,SQSTM1
3289,RPA1,stimulates,WRN
3290,XPA,stimulates,RPA1
3291,SMARCAD1,stimulates,TRIM28
3293,RCOR1,stimulates,REST
3294,CCNA1,stimulates,E2F1
3295,E2F1,stimulates,CCNA1
3296,CARD11,stimulates,BCL10
3299,PINK1,stimulates,PRKN
3300,MAX,stimulates,MNT
3301,BRCA2,stimulates,RAD51
3304,GRB2,stimulates,GAB1
3305,GAB1,stimulates,GRB2
3306,ROR2,stimulates,MAGED1
3307,CDC73,stimulates,CTNNB1
3308,MAP1LC3A,stimulates,SQSTM1
3309,AXIN1,stimulates,CTNNB1
3310,EGFR,stimulates,ERBB2
3311,ERBB2,stimulates,EGFR
3312,EGFR,stimulates,ERBB3
3313,MAX,stimulates,MYC
3315,IL1B,stimulates,IL1R2
3316,RBPJ,stimulates,NCOR2
3318,ERCC6,stimulates,ERCC5
3319,ERCC6,stimulates,ERCC5
3320,NBR1,stimulates,GABARAP
3322,TP53,stimulates,RRM2
3325,WRN,stimulates,TP53
3326,SUFU,stimulates,GLI3
3327,SRC,stimulates,RAF1
3328,TAB2,stimulates,NR2C2
3331,ATG7,stimulates,MAP1LC3A
3332,PSEN1,stimulates,CDH1
3333,PSEN1,stimulates,CTNNB1
3335,MAP1LC3A,stimulates,ATG3
3336,ATG3,stimulates,MAP1LC3A
3337,NBR1,stimulates,GABARAPL1
3338,RELA,stimulates,NFKBIB
3339,TGFB1,stimulates,TGFBR2
3341,TGFB1,stimulates,TGFBR3
3342,TGFBR3,stimulates,TGFB1
3343,TGFB1,stimulates,TGFBR1
3345,RPA1,stimulates,RECQL
3347,CLOCK,stimulates,ARNTL
3348,RASSF5,stimulates,RASSF1
3349,HRAS,stimulates,RASSF5
3350,GRB2,stimulates,PTK2
3351,PTK2,stimulates,GRB2
3353,IL1B,stimulates,IL1R1
3355,HRAS,stimulates,RASSF1
3356,NTRK1,stimulates,SHC1
3357,CD247,stimulates,ZAP70
3358,LIF,stimulates,LIFR
3359,RBX1,stimulates,CUL1
3360,IKBKG,stimulates,CHUK
3362,IL2,stimulates,IL2RG
3363,IL13,stimulates,IL13RA1
3364,IL13,stimulates,IL13RA2
3365,MAP3K7,stimulates,MAP2K4
3366,MAP3K7,stimulates,IKBKG
3367,VAV1,stimulates,PLCG1
3368,PLCG1,stimulates,VAV1
3369,VAV1,stimulates,GRAP
3370,MAP3K7,stimulates,MAP2K6
3371,PRKCQ,stimulates,MAP3K7
3373,TGFBR2,stimulates,TRAF6
3374,VAV1,stimulates,RHOA
3375,RHOA,stimulates,VAV1
3376,VAV1,stimulates,CDC42
3377,SOCS1,stimulates,JAK1
3378,MAP3K5,stimulates,MAP2K4
3379,MAP3K5,stimulates,MAP2K7
3380,MAP3K5,stimulates,MAP2K6
3381,HRAS,stimulates,RAF1
3382,PEBP1,stimulates,MAP3K7
3383,TAOK2,stimulates,MAP2K6
3384,DUSP16,stimulates,MAPK8IP1
3385,PTPN6,stimulates,JAK1
3386,VAV1,stimulates,SYK
3387,SYK,stimulates,VAV1
3388,VAV1,stimulates,CBL
3390,TGFB3,stimulates,TGFBR2
3392,MAPK11,stimulates,MAPKAPK5
3393,BMP2,stimulates,BMPR2
3394,GDF5,stimulates,BMPR2
3395,ACVR2B,stimulates,ACVR1B
3396,NOTCH1,stimulates,CHUK
3397,IL9R,stimulates,JAK1
3398,IFNAR2,stimulates,JAK1
3399,JAK1,stimulates,IL10RA
3400,IL10RA,stimulates,JAK1
3401,PTPN11,stimulates,GAB1
3402,GAB1,stimulates,PTPN11
3403,IL21R,stimulates,JAK1
3404,PTPN6,stimulates,ZAP70
3405,LYN,stimulates,PIK3R1
3406,RARB,stimulates,RXRA
3407,RXRA,stimulates,RARB
3408,NDP,stimulates,FZD4
3409,PRL,stimulates,PRLR
3410,GH1,stimulates,PRLR
3411,GH1,stimulates,GHR
3412,IFNAR1,stimulates,JAK1
3413,TYK2,stimulates,STAT2
3414,JAK1,stimulates,STAT2
3415,IFNAR1,stimulates,TYK2
3416,TYK2,stimulates,IFNAR1
3417,IFNG,stimulates,IFNGR2
3418,IFNGR1,stimulates,JAK1
3419,JAK1,stimulates,IFNGR1
3420,TYK2,stimulates,STAT3
3421,TSLP,stimulates,CRLF2
3422,STAT1,stimulates,IRF9
3423,STAT2,stimulates,IRF9
3424,IRF9,stimulates,STAT2
3425,IKBKB,stimulates,NFKBIA
3426,IKBKB,stimulates,NFKBIB
3427,CHUK,stimulates,NFKBIA
3428,CHUK,stimulates,NFKBIB
3429,PTPN1,stimulates,TYK2
3430,MAPK3,stimulates,SOS1
3431,SOS1,stimulates,MAPK3
3432,JAK2,stimulates,PTPN11
3433,PTPN11,stimulates,JAK2
3434,SMAD3,stimulates,ESR1
3435,SMAD3,stimulates,NOTCH1
3436,IL3,stimulates,IL3RA
3437,INS,stimulates,IGF1R
3438,IL12A,stimulates,IL12RB1
3439,DUSP4,stimulates,MAPK1
3440,MAPK3,stimulates,DUSP4
3441,DUSP4,stimulates,MAPK3
3442,MAPK14,stimulates,ATF2
3443,MAPK3,stimulates,ELK1
3444,RPS6KA1,stimulates,FOS
3445,MAPK8,stimulates,ELK1
3447,JAK3,stimulates,STAT5A
3448,JAK2,stimulates,IRS1
3449,IRS1,stimulates,JAK2
3450,ATF2,stimulates,MAPK8
3451,MAPK8,stimulates,ATF2
3452,IL6ST,stimulates,JAK2
3453,IFNA1,stimulates,IFNAR1
3454,IFNB1,stimulates,IFNAR1
3455,IFNA1,stimulates,IFNAR2
3456,IFNB1,stimulates,IFNAR2
3457,IL15,stimulates,IL15RA
3458,MAPK14,stimulates,ELK1
3459,MAP3K7,stimulates,MAP2K3
3460,JAK1,stimulates,PTPN11
3462,MAP4K1,stimulates,MAP3K11
3463,MAPK8,stimulates,ELK4
3464,MAPK3,stimulates,ELK4
3465,MAPK8,stimulates,DUSP4
3466,DUSP4,stimulates,MAPK8
3467,NOTCH1,stimulates,RBPJ
3468,MAPK14,stimulates,MEF2C
3469,SMAD7,stimulates,TGFBR1
3471,NRG3,stimulates,ERBB4
3472,NRG1,stimulates,ERBB4
3473,FRZB,stimulates,WNT1
3474,MAPK3,stimulates,SMAD1
3475,SMAD6,stimulates,SMAD1
3476,MEF2C,stimulates,JUN
3477,MAPK7,stimulates,MEF2C
3478,NRAS,stimulates,RAF1
3479,JAK3,stimulates,STAT1
3480,IRS4,stimulates,IGF1R
3481,IGF1R,stimulates,IRS4
3482,MAP3K10,stimulates,MAP2K7
3483,MAPK11,stimulates,RPS6KA5
3484,RPS6KA5,stimulates,MAPK1
3485,MAPK1,stimulates,RPS6KA5
3486,SMAD4,stimulates,CREB1
3487,EGFR,stimulates,SHC1
3488,ACVR1,stimulates,SMAD1
3489,ACVRL1,stimulates,SMAD1
3490,MAPK7,stimulates,MEF2A
3491,BMPR1B,stimulates,SMAD5
3492,BMPR1B,stimulates,SMAD1
3493,MAPK3,stimulates,RPS6KA4
3494,PTCH2,stimulates,SMO
3495,SHH,stimulates,PTCH2
3496,IHH,stimulates,PTCH2
3497,RAC1,stimulates,PAK2
3498,PAK2,stimulates,RAC1
3499,MAP2K7,stimulates,MAP3K7
3500,MAP3K7,stimulates,MAP2K7
3501,SMAD6,stimulates,TGFBR1
3502,TGFBR1,stimulates,SMAD6
3503,SMAD7,stimulates,SMAD3
3504,SMAD3,stimulates,SMAD7
3505,SMAD6,stimulates,SMAD3
3506,SMAD7,stimulates,SMAD2
3507,SMAD2,stimulates,SMAD7
3508,SMAD6,stimulates,SMAD2
3509,MAPK1,stimulates,DUSP6
3510,DUSP6,stimulates,MAPK1
3511,MAPK1,stimulates,DUSP1
3512,DUSP1,stimulates,MAPK1
3513,DUSP8,stimulates,MAPK14
3514,MAPK14,stimulates,DUSP8
3515,MAPK3,stimulates,DUSP6
3516,DUSP6,stimulates,MAPK3
3517,MAPK14,stimulates,MAPKAPK3
3518,MAPK8,stimulates,DUSP8
3519,DUSP8,stimulates,MAPK8
3520,SHH,stimulates,HHIP
3521,HHIP,stimulates,SHH
3522,STK36,stimulates,SUFU
3523,SUFU,stimulates,STK36
3524,WNT8A,stimulates,FZD7
3525,MAPK1,stimulates,SMAD3
3526,MAPK3,stimulates,SMAD3
3527,MAPK1,stimulates,SMAD2
3528,MAPK3,stimulates,SMAD2
3529,IL12RB1,stimulates,JAK2
3530,AREG,stimulates,EGFR
3531,HBEGF,stimulates,EGFR
3532,NRG4,stimulates,ERBB4
3533,SOCS3,stimulates,JAK1
3534,JAK1,stimulates,SOCS3
3535,ADAM10,stimulates,NOTCH2
3536,PEBP1,stimulates,BRAF
3537,TAOK2,stimulates,MAP2K3
3538,ACVR1,stimulates,SMAD5
3539,EGFR,stimulates,CBL
3540,CBL,stimulates,EGFR
3541,BAMBI,stimulates,BMPR1A
3542,BAMBI,stimulates,TGFBR1
3543,IFNB1,stimulates,TYK2
3544,SOCS3,stimulates,JAK2
3545,SMAD6,stimulates,BMPR1A
3546,SMAD7,stimulates,BMPR1A
3547,SMAD6,stimulates,ACVR1
3548,SMAD7,stimulates,ACVR1
3549,IRS4,stimulates,GRAP
3550,MAPK8IP3,stimulates,MAP3K11
3551,MAPK8IP3,stimulates,MAP2K7
3552,PTPN1,stimulates,IRS1
3554,OSMR,stimulates,IL6ST
3555,GSK3B,stimulates,APC2
3556,SHOC2,stimulates,KRAS
3557,DLL4,stimulates,NOTCH4
3558,CRLF2,stimulates,JAK2
3559,SMAD4,stimulates,LEF1
3560,SMAD3,stimulates,LEF1
3561,SMAD2,stimulates,LEF1
3562,IFNB1,stimulates,JAK1
3563,SMAD4,stimulates,FOS
3564,JAG1,stimulates,NOTCH2
3565,JAG2,stimulates,NOTCH2
3566,JAG2,stimulates,NOTCH3
3567,DLL3,stimulates,NOTCH1
3568,IL7R,stimulates,CRLF2
3569,APC2,stimulates,AXIN1
3570,WNT5A,stimulates,FZD4
3571,PTPN6,stimulates,JAK3
3572,WNT1,stimulates,LRP6
3573,IL23A,stimulates,IL12RB1
3574,NOTCH1,stimulates,DTX1
3575,DTX1,stimulates,NOTCH1
3576,IL6,stimulates,IL6R
3577,IL6R,stimulates,IL6ST
3578,MAP2K7,stimulates,MAPK10
3579,MAPK10,stimulates,MAP2K7
3580,MAP2K7,stimulates,MAPK9
3581,MAP2K6,stimulates,MAPK12
3582,MAP2K4,stimulates,MAPK10
3583,MAP2K6,stimulates,MAPK14
3584,MAP2K4,stimulates,MAPK9
3585,MAP2K3,stimulates,MAPK11
3586,MAP2K5,stimulates,MAPK7
3587,MAPK7,stimulates,MAP2K5
3588,ZFYVE9,stimulates,SMAD2
3589,CNTF,stimulates,CRLF1
3590,SOCS3,stimulates,STAT5A
3591,STAT5A,stimulates,SOCS3
3592,LRP5,stimulates,AXIN1
3593,MAP3K2,stimulates,MAP2K4
3594,MAP3K2,stimulates,MAP2K1
3595,FBXW11,stimulates,SMAD3
3596,ACVR1B,stimulates,SMAD2
3597,AXIN1,stimulates,SMAD3
3598,IRAK1,stimulates,TAB1
3599,IRAK1,stimulates,TAB2
